         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_proto.py:26(__init__)
       33    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:261(_add_reader)
       44    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/threading.py:243(__init__)
       32    0.000    0.000    0.003    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:605(_start_shutdown)
       64    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/helpers.py:682(ceil_timeout)
      251    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_futures.py:14(isfuture)
      251    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x104b9fca8}
       35    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:499(update_cookies)
       32    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:298(_add_writer)
       35    0.000    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:197(release)
       32    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:1306(_convert_hosts_to_addr_infos)
